#{"t_start": 1727463122.516167, "env_id": "None"}
r,l,t
13.259,631,563.46175
15.2208,983,1456.241528
6.8798,342,1770.348237
11.8499,533,2352.289792
5.8818,402,2711.061834
9.5991,938,3554.527783
7.2608,492,4074.028154
7.4458,737,4749.509192
11.2649,546,5231.94211
14.0445,864,6089.147648
7.0892,349,6401.756366
7.7069,345,6710.804829
7.2962,325,7013.477465
13.0435,937,7928.162522
7.8885,369,8257.458661
7.6898,341,8576.256437
3.8655,261,8810.434644
7.8752,405,9171.353558
9.4303,648,9821.87938
10.4476,799,10538.781033
8.7066,268,10781.202514
4.8993,302,11062.640461
7.3127,321,11350.61162
2.8902,151,11567.143968
11.7084,670,12165.720362
9.0672,444,12568.40573
9.0684,411,12944.12229
5.6829,317,13244.978124
7.6171,459,13736.139492
11.0503,582,14258.898306
7.9214,271,14503.900922
12.4141,811,15226.412843
9.4513,641,15875.466682
4.0997,233,16088.131064
6.7117,333,16395.826025
6.4948,268,16637.886526
9.6675,704,17354.120441
9.5604,1143,18372.052276
7.1127,443,18776.134271
11.0649,568,19448.960751
13.2245,737,20113.748609
6.913,334,20420.181977
9.7616,944,21416.807244
